ID,ParagraphID,俄语,中文
1,1,"После венчания не было даже легкой закуски, молодые выпили по бокалу, переоделись и поехали на вокзал.",婚礼以后，就连清淡的凉菜也没有。新婚夫妇各自喝下一杯酒，就换上衣服，坐马车到火车站去了。
2,1,"Вместо веселого свадебного бала и ужина, вместо музыки и танцев — поездка на богомолье за двести верст.",他们没有举行欢乐的结婚舞会和晚宴，没有安排音乐和跳舞，却到二百俄里以外去参拜圣地。
3,1,"Многие одобрили это, говоря, что Модест Алексеич уже в чинах и не молод, и шумная свадьба могла бы, пожалуй, показаться не совсем приличной,Да и скучно слушать музыку, когда чиновник 52 лет женится на девушке, которой едва минуло 18.",许多人都赞成这个办法，说莫杰斯特·阿历克塞伊奇已经身居要职，而且年纪已不轻，热闹的婚礼或许显得不大相宜了。再者，一个五十二岁的官吏跟一个刚满十八岁的姑娘结婚，音乐就叫人听着乏味。
4,1,"Говорили также, что эту поездку в монастырь Модест Алексеич, как человек с правилами, затеял, собственно, для того, чтобы дать понять своей молодой жене, что и в браке он отдает первое место религии и нравственности.",大家还说莫杰斯特?阿历克塞伊奇是个循规蹈矩的人，他之所以想出到修道院去旅行一趟是因为特意要让年轻的妻子知道：就连在婚姻中，他也把宗教和道德放在第一位。
5,2,Молодых провожали. ,人们纷纷到车站去给这对新婚夫妇送行。
6,2,"Толпа сослуживцев и родных стояла с бокалами и ждала, когда пойдет поезд, чтобы крикнуть ура, и Петр Леонтьич, отец, в цилиндре, в учительском фраке, уже пьяный и уже очень бледный, всё тянулся к окну со своим бокалом и говорил умоляюще:",一群亲戚和同事站在那儿，手里端着酒杯，专等火车一开就嚷叫“乌啦”，新娘的父亲彼得?列昂契奇头戴一顶高礼帽，穿着教员制服，已经喝醉，脸色很苍白，不住地端着酒杯向窗子那边探过身去，恳求地说：
7,3,"— Анюта! Аня! Аня, на одно слово!",“安纽达！阿尼雅！阿尼雅，我有一句话要跟你说！”
8,4,"Аня наклонялась к нему из окна, и он шептал ей что-то, обдавая ее запахом винного перегара, дул в ухо — ничего нельзя было понять — и крестил ей лицо, грудь, руки, при этом дыхание у него дрожало и на глазах блестели слезы.",阿尼雅从窗口低下头来凑近他，他就对她小声说话，一股酒臭气熏着她，喷向她的耳朵，结果她什么也没听明白。他在她脸上、胸上、手上画十字；同时他的呼吸发颤，眼睛里闪着泪光。
9,4,"А братья Ани, Петя и Андрюша, гимназисты, дергали его сзади за фрак и шептали сконфуженно:",阿尼雅的兄弟，那两个中学生，彼嘉和安德留沙，在他背后拉他的制服，局促不安地对他耳语说：
10,5,"Папочка, будет...",爸爸，得了……
11,5,"Папочка, не надо...",爸爸，别说了……
12,6,"Когда поезд тронулся, Аня видела, как ее отец побежал немножко за вагоном, пошатываясь и расплескивая свое вино, и какое у него было жалкое, доброе, виноватое лицо.",火车开了，阿尼雅看见她父亲跟着车厢跑了几步，脚步踉跄，杯子里的酒也洒了，他的脸容多么可怜、善良、惭愧啊。
13,7,— Ура-а-а! — кричал он.,“乌——啦！”他嚷道。
14,8,Молодые остались одни.,现在只剩下这对新婚夫妇在一起了。
15,8,"Модест Алексеич осмотрелся в купе, разложил вещи по полкам и сел против своей молодой жены, улыбаясь.",莫杰斯特?阿历克塞伊奇瞧一下车室，把东西放到架子上，然后微笑着，在年轻的妻子对面坐下。
16,8,"Это был чиновник среднего роста, довольно полный, пухлый, очень сытый, с длинными бакенами и без усов, и его бритый, круглый, резко очерченный подбородок походил на пятку. ",他是个中等身材的官吏，长得相当丰满，挺胖，保养得很好，留着长长的络腮胡子，却没留上髭。他那剃得光光、轮廓分明的圆下巴看上去象是脚后跟。
17,8,"Самое характерное в его лице было отсутствие усов, это свежевыбритое, голое место, которое постепенно переходило в жирные, дрожащие, как желе, щеки.",他脸上最有特色的一点是没有唇髭，只有光秃秃的、新近剃光的一块地方，那块地方渐渐过渡到象果冻一样颤抖的肥脸颊。
18,8,"Держался он солидно, движения у него были не быстрые, манеры мягкие.",他风度尊严，动作从容，态度温和。
19,9,"— Не могу не припомнить теперь одного обстоятельства, — сказал он, улыбаясь. ",“现在我不由得想起一件事情来了，”他微笑着说，
20,9,"— Пять лет назад, когда Косоротов получил орден святыя Анны второй степени и пришел благодарить, то его сиятельство выразился так: ?Значит, у вас теперь три Анны: одна в петлице, две на шее?.",“五年前柯索罗托夫接受二等圣安娜勋章，去向大人道谢的时候，大人说过这样的话：‘那么您现在有三个安娜了：一个挂在您的纽扣眼上，两个挂在脖子上。’
21,9,"А надо сказать, что в то время к Косоротову только что вернулась его жена, особа сварливая и легкомысленная, которую звали Анной. ",这得说明一下。当时柯索罗托夫的太太，一个爱吵架的轻佻女人，刚刚回到他身边来，她的名字就叫安娜。
22,9,"Надеюсь, что когда я получу Анну второй степени, то его сиятельство не будет иметь повода сказать мне то же самое.",我希望我接受二等安娜勋章的时候，大人没有理由对我说这种话。”
23,10,Он улыбался своими маленькими глазками. ,他那双小眼睛含着笑意。
24,10,"И она тоже улыбалась, волнуясь от мысли, что этот человек может каждую минуту поцеловать ее своими полными, влажными губами и что она уже не имеет права отказать ему в этом. ",她也微笑，可是一想到这个人随时会用他那潮湿的厚嘴唇吻她，而且她没有权利拒绝，就觉得心慌。
25,10,"Мягкие движения его пухлого тела пугали ее, ей было и страшно, и гадко.",他那胖身子只要微微一动，就会吓她一跳，她觉得又可怕又恶心。
